Culture,Food,Description,Ingredients
Italian,Lasagna,"Layered baked pasta dish with meat sauce, cheese, and béchamel.","lasagna sheets, ground beef, tomato sauce, béchamel, parmesan"
Italian,Risotto alla Milanese,Creamy saffron-infused rice dish from Milan.,"arborio rice, saffron, butter, parmesan, broth"
Italian,Osso Buco,Braised veal shanks cooked slowly with vegetables and white wine.,"veal shanks, carrots, celery, onion, white wine, broth"
Italian,Tiramisu,Layered dessert of coffee-soaked ladyfingers and mascarpone cream.,"ladyfingers, mascarpone, espresso, cocoa powder, sugar, eggs"
Italian,Caprese Salad,"Simple salad of fresh tomatoes, mozzarella, and basil.","tomato, mozzarella, basil, olive oil, salt"
Italian,Minestrone,Hearty vegetable soup with beans and pasta.,"beans, tomato, carrot, celery, pasta, broth"
Italian,Gnocchi,Soft potato dumplings often served with butter or tomato sauce.,"potato, flour, egg, salt"
Italian,Bruschetta,"Toasted bread topped with tomato, garlic, and basil.","bread, tomato, garlic, basil, olive oil"
Italian,Panna Cotta,Silky cooked cream dessert set with gelatin.,"cream, sugar, gelatin, vanilla"
Italian,Osteria Ragù,Slow-simmered meat sauce served over tagliatelle pasta.,"ground beef, tomato, onion, carrot, celery, tagliatelle"
Italian,Focaccia,Flat oven-baked bread drizzled with olive oil and herbs.,"flour, yeast, olive oil, rosemary, salt"
Italian,Arancini,Fried rice balls stuffed with cheese or ragù.,"risotto rice, mozzarella, breadcrumbs, egg, ragù"
Italian,Panzanella,Tuscan bread salad with tomatoes and fresh vegetables.,"stale bread, tomato, cucumber, onion, olive oil"
Italian,Cannoli,Crisp fried pastry shells filled with sweetened ricotta cream.,"pastry shell, ricotta, sugar, chocolate chips"
Italian,Vitello Tonnato,Cold sliced veal served with a creamy tuna sauce.,"veal, tuna, capers, mayonnaise, lemon"
Italian,Pesto Genovese,"Sauce made from basil, pine nuts, garlic, and parmesan.","basil, pine nuts, garlic, parmesan, olive oil"
Italian,Ribollita,Tuscan bread and vegetable soup traditionally reheated.,"bread, kale, beans, carrot, celery, tomato"
Italian,Zeppole,"Fried dough balls dusted with sugar, popular as a street snack.","flour, yeast, sugar, oil"
Chinese,Peking Duck,"Roasted duck with crispy skin, served with pancakes and hoisin sauce.","duck, hoisin sauce, pancakes, scallion, cucumber"
Chinese,Kung Pao Chicken,Spicy stir-fried chicken with peanuts and chili peppers.,"chicken, peanuts, dried chili, soy sauce, garlic"
Chinese,Xiaolongbao,Steamed soup dumplings filled with pork and hot broth.,"pork, flour, gelatin broth, ginger, scallion"
Chinese,Mapo Tofu,Spicy Sichuan dish of tofu in a fermented bean and chili sauce.,"tofu, ground pork, doubanjiang, sichuan pepper, scallion"
Chinese,Sweet and Sour Pork,Battered pork fried and coated in a tangy sweet sauce.,"pork, pineapple, bell pepper, vinegar, sugar, ketchup"
Chinese,Chow Mein,Stir-fried noodles with vegetables and choice of meat.,"noodles, cabbage, carrot, soy sauce, meat"
Chinese,Congee,Savory rice porridge often served with toppings for breakfast.,"rice, water, ginger, scallion, meat or egg"
Chinese,Char Siu,Cantonese barbecue pork with a glossy sweet glaze.,"pork, hoisin sauce, honey, five spice, soy sauce"
Chinese,Hot Pot,Communal simmering pot where diners cook meat and vegetables.,"broth, thinly sliced meat, vegetables, tofu, noodles"
Chinese,Dan Dan Noodles,Spicy Sichuan noodles topped with minced pork and chili oil.,"noodles, ground pork, chili oil, sesame paste, scallion"
Chinese,Spring Rolls,Crispy fried rolls filled with vegetables or meat.,"spring roll wrapper, cabbage, carrot, pork, oil"
Chinese,Egg Fried Rice,Simple stir-fried rice with egg and scallions.,"rice, egg, scallion, soy sauce, oil"
Chinese,Wonton Soup,Clear broth soup with delicate pork-filled dumplings.,"wonton wrappers, pork, shrimp, broth, scallion"
Chinese,Zongzi,Sticky rice dumplings wrapped in bamboo leaves.,"glutinous rice, pork, bamboo leaves, mushroom"
Chinese,Mooncake,"Dense pastry filled with lotus seed paste, eaten during Mid-Autumn Festival.","flour, lotus seed paste, egg yolk, syrup"
Chinese,Beef Chow Fun,Stir-fried wide rice noodles with beef and bean sprouts.,"rice noodles, beef, bean sprouts, soy sauce, scallion"
Chinese,Sichuan Fish,Fish fillets poached in a fiery chili and Sichuan pepper broth.,"fish, dried chili, sichuan pepper, garlic, broth"
Chinese,Baozi,Steamed buns filled with seasoned meat or vegetables.,"flour, yeast, pork, cabbage, soy sauce"
Chinese,Peanut Noodles,Cold noodles tossed in a savory peanut sauce.,"noodles, peanut butter, soy sauce, vinegar, garlic"
Chinese,Egg Tarts,Flaky pastry tarts filled with smooth egg custard.,"pastry, egg, sugar, milk"
Japanese,Sushi,Vinegared rice paired with raw fish or vegetables.,"rice, nori, raw fish, rice vinegar, wasabi"
Japanese,Ramen,Noodle soup dish with rich broth and various toppings.,"noodles, broth, pork, egg, scallion"
Japanese,Tempura,Lightly battered and deep-fried seafood or vegetables.,"shrimp, vegetables, flour, egg, oil"
Japanese,Miso Soup,Traditional soup made from fermented soybean paste.,"miso paste, dashi, tofu, seaweed, scallion"
Japanese,Okonomiyaki,Savory pancake mixed with cabbage and various fillings.,"flour, cabbage, egg, pork, okonomiyaki sauce"
Japanese,Teriyaki Chicken,Grilled chicken glazed with a sweet soy-based sauce.,"chicken, soy sauce, mirin, sugar, ginger"
Japanese,Udon,Thick wheat noodles served in a savory broth.,"udon noodles, dashi broth, soy sauce, scallion"
Japanese,Katsu Curry,Breaded fried pork cutlet served with Japanese curry sauce.,"pork, breadcrumbs, curry roux, rice, onion"
Japanese,Onigiri,Rice balls often wrapped in seaweed with a savory filling.,"rice, nori, salmon or umeboshi, salt"
Japanese,Takoyaki,Ball-shaped snack filled with diced octopus and batter.,"octopus, flour, dashi, egg, takoyaki sauce"
Japanese,Chawanmushi,Silky steamed egg custard with savory ingredients.,"egg, dashi, shrimp, mushroom, soy sauce"
Japanese,Yakitori,Grilled skewered chicken glazed with a savory tare sauce.,"chicken, soy sauce, mirin, sugar, skewers"
Japanese,Gyoza,Pan-fried dumplings filled with pork and vegetables.,"gyoza wrapper, pork, cabbage, garlic, ginger"
Japanese,Sashimi,Thinly sliced raw fish served without rice.,"raw fish, soy sauce, wasabi"
Japanese,Soba,Buckwheat noodles served hot or cold with dipping sauce.,"soba noodles, dashi, soy sauce, scallion"
Japanese,Natto,Fermented soybeans with a distinctive sticky texture.,"fermented soybeans, soy sauce, mustard"
Japanese,Tonkatsu,Breaded and deep-fried pork cutlet served with cabbage.,"pork cutlet, breadcrumbs, egg, cabbage, tonkatsu sauce"
Japanese,Matcha Mochi,Chewy rice cake flavored with green tea powder.,"glutinous rice flour, matcha powder, sugar, water"
Japanese,Unagi Don,Grilled eel glazed with sweet sauce served over rice.,"eel, soy sauce, mirin, sugar, rice"
Japanese,Dorayaki,Sweet pancake sandwich filled with red bean paste.,"flour, egg, sugar, red bean paste, honey"
Indian,Butter Chicken,Creamy tomato-based curry with tender marinated chicken.,"chicken, tomato, butter, cream, garam masala"
Indian,Biryani,Fragrant spiced rice layered with meat and herbs.,"basmati rice, chicken, saffron, yogurt, spices"
Indian,Samosa,Fried pastry filled with spiced potatoes and peas.,"flour, potato, peas, cumin, oil"
Indian,Palak Paneer,Cheese cubes simmered in a spiced spinach gravy.,"paneer, spinach, garlic, ginger, cream"
Indian,Chana Masala,Spiced chickpea curry cooked in a tomato-based sauce.,"chickpeas, tomato, onion, cumin, coriander"
Indian,Tandoori Chicken,"Chicken marinated in yogurt and spices, roasted in a clay oven.","chicken, yogurt, tandoori masala, lemon, garlic"
Indian,Dosa,Thin fermented crepe made from rice and lentil batter.,"rice, urad dal, water, salt, oil"
Indian,Rogan Josh,Aromatic Kashmiri lamb curry with rich red spices.,"lamb, yogurt, kashmiri chili, onion, spices"
Indian,Dal Tadka,Lentils simmered and finished with a tempered spice garnish.,"lentils, cumin, garlic, turmeric, ghee"
Indian,Naan,Soft leavened flatbread traditionally baked in a tandoor.,"flour, yeast, yogurt, butter, salt"
Indian,Aloo Gobi,Dry curry of potatoes and cauliflower with turmeric spices.,"potato, cauliflower, turmeric, cumin, coriander"
Indian,Chicken Tikka,Marinated chicken pieces grilled to a smoky finish.,"chicken, yogurt, spices, lemon, skewers"
Indian,Rasam,Tangy South Indian soup made with tamarind and spices.,"tamarind, tomato, pepper, cumin, lentils"
Indian,Gulab Jamun,Deep-fried milk dumplings soaked in sugar syrup.,"milk powder, flour, ghee, sugar syrup, cardamom"
Indian,Pav Bhaji,Spiced mashed vegetable curry served with buttered bread rolls.,"mixed vegetables, butter, pav bread, spices"
Indian,Idli,"Steamed savory rice cakes, soft and fluffy.","rice, urad dal, water, salt"
Indian,Vindaloo,Fiery Goan curry with vinegar and chili-marinated meat.,"pork, vinegar, chili, garlic, spices"
Indian,Chole Bhature,Spiced chickpeas served with fried leavened bread.,"chickpeas, flour, yogurt, spices, oil"
Indian,Malai Kofta,Fried vegetable and cheese balls in a creamy gravy.,"paneer, potato, cream, tomato, spices"
Indian,Jalebi,Crispy fried batter spirals soaked in sugar syrup.,"flour, yogurt, sugar syrup, saffron"
Mexican,Tacos al Pastor,Marinated pork tacos cooked on a vertical spit with pineapple.,"pork, achiote, pineapple, tortilla, onion, cilantro"
Mexican,Guacamole,Mashed avocado dip seasoned with lime and cilantro.,"avocado, lime, onion, cilantro, chili"
Mexican,Enchiladas,Rolled tortillas filled with meat and covered in chili sauce.,"tortilla, chicken, chili sauce, cheese, onion"
Mexican,Chiles Rellenos,Roasted poblano peppers stuffed with cheese and fried.,"poblano pepper, cheese, egg, flour, tomato sauce"
Mexican,Pozole,Hearty hominy stew traditionally made with pork.,"hominy, pork, chili, garlic, cabbage"
Mexican,Tamales,"Steamed corn dough filled with meat, wrapped in corn husks.","masa, pork, corn husk, chili sauce"
Mexican,Mole Poblano,"Rich, complex sauce made from chilies and chocolate.","dried chilies, chocolate, spices, chicken, tortilla"
Mexican,Elote,"Grilled corn coated in mayonnaise, cheese, and chili powder.","corn, mayonnaise, cotija cheese, chili powder, lime"
Mexican,Chilaquiles,Fried tortilla chips simmered in salsa and topped with cheese.,"tortilla chips, salsa, cheese, crema, egg"
Mexican,Carnitas,"Slow-cooked, crispy shredded pork.","pork, lard, orange, garlic, salt"
Mexican,Ceviche,Fresh fish cured in citrus juice with vegetables.,"fish, lime juice, onion, tomato, cilantro"
Mexican,Sopes,Thick fried corn cakes topped with beans and meat.,"masa, beans, meat, lettuce, cheese"
Mexican,Birria,Rich spiced meat stew often served with dipping consommé.,"beef, dried chilies, garlic, cumin, tortilla"
Mexican,Horchata,Sweet rice-based drink flavored with cinnamon.,"rice, cinnamon, sugar, water, vanilla"
Mexican,Flan,Creamy caramel custard dessert.,"eggs, milk, sugar, vanilla"
Mexican,Quesadilla,Tortilla filled with melted cheese and grilled.,"tortilla, cheese, optional meat"
Mexican,Tostadas,Crispy fried tortillas topped with beans and toppings.,"tortilla, beans, lettuce, cheese, salsa"
Mexican,Molletes,Open-faced sandwich with refried beans and melted cheese.,"bolillo bread, refried beans, cheese, salsa"
Mexican,Cochinita Pibil,Slow-roasted pork marinated in citrus and achiote paste.,"pork, achiote paste, orange juice, banana leaf"
Mexican,Churros,Fried dough pastry coated in cinnamon sugar.,"flour, water, sugar, cinnamon, oil"
French,Coq au Vin,Chicken braised slowly in red wine with mushrooms.,"chicken, red wine, mushroom, bacon, onion"
French,Ratatouille,Stewed vegetable dish from Provence.,"eggplant, zucchini, tomato, bell pepper, garlic"
French,Beef Bourguignon,Beef stewed in red wine with vegetables and herbs.,"beef, red wine, carrot, onion, mushroom"
French,Croissant,"Flaky, buttery laminated pastry.","flour, butter, yeast, milk, sugar"
French,Quiche Lorraine,"Savory tart filled with egg custard, bacon, and cheese.","pastry, egg, cream, bacon, cheese"
French,French Onion Soup,Rich caramelized onion soup topped with melted cheese.,"onion, beef broth, bread, gruyère cheese"
French,Bouillabaisse,Traditional Provençal fish stew.,"fish, shellfish, tomato, saffron, fennel"
French,Crème Brûlée,Rich custard topped with a hardened caramel layer.,"cream, egg yolk, sugar, vanilla"
French,Duck Confit,Duck leg slow-cooked in its own fat until tender.,"duck leg, duck fat, garlic, thyme, salt"
French,Escargot,Snails cooked in garlic herb butter.,"snails, butter, garlic, parsley"
French,Tarte Tatin,Upside-down caramelized apple tart.,"apples, sugar, butter, puff pastry"
French,Niçoise Salad,"Composed salad with tuna, olives, and vegetables.","tuna, olives, green beans, egg, tomato"
French,Cassoulet,Slow-cooked bean stew with sausage and duck.,"white beans, sausage, duck, pork, garlic"
French,Madeleine,Small shell-shaped sponge cake.,"flour, butter, egg, sugar, lemon zest"
French,Baguette,"Long, crusty French bread loaf.","flour, water, yeast, salt"
French,Soufflé,"Light, airy baked dish made with whipped egg whites.","egg, cheese or chocolate, butter, flour, milk"
French,Ratafia Chicken,Chicken simmered in a fortified wine reduction sauce.,"chicken, fortified wine, cream, shallots"
French,Pissaladière,Provençal flatbread topped with caramelized onions and anchovies.,"dough, onion, anchovy, olives"
French,Profiteroles,Choux pastry filled with cream and topped with chocolate sauce.,"choux pastry, cream, chocolate sauce"
French,Galette des Rois,"Puff pastry cake filled with almond cream, eaten in January.","puff pastry, almond cream, butter, sugar"
Thai,Pad Thai,"Stir-fried rice noodles with shrimp, egg, and tamarind sauce.","rice noodles, shrimp, egg, tamarind, peanuts"
Thai,Green Curry,Spicy coconut curry made with green chili paste.,"green curry paste, coconut milk, chicken, eggplant, basil"
Thai,Tom Yum Goong,Hot and sour soup with shrimp and lemongrass.,"shrimp, lemongrass, lime leaves, chili, mushroom"
Thai,Massaman Curry,"Mild, rich curry with warm spices and peanuts.","beef, coconut milk, potato, peanuts, massaman paste"
Thai,Som Tum,Spicy shredded green papaya salad.,"green papaya, chili, lime, fish sauce, peanuts"
Thai,Pad Krapow,Stir-fried minced meat with holy basil and chili.,"ground pork, holy basil, chili, garlic, fish sauce"
Thai,Khao Soi,Northern Thai curry noodle soup with crispy noodles.,"egg noodles, coconut curry, chicken, shallot"
Thai,Mango Sticky Rice,Sweet sticky rice served with fresh mango and coconut cream.,"glutinous rice, mango, coconut milk, sugar"
Thai,Larb,Spicy minced meat salad with herbs and lime.,"ground pork, lime, chili, mint, fish sauce"
Thai,Tom Kha Gai,Coconut chicken soup with galangal and lime leaves.,"chicken, coconut milk, galangal, lime leaves"
Thai,Panang Curry,"Thick, creamy curry with peanuts and kaffir lime.","panang paste, coconut milk, beef, kaffir lime"
Thai,Satay,Grilled skewered meat served with peanut sauce.,"chicken, peanut sauce, skewers, marinade"
Thai,Thai Fried Rice,"Stir-fried rice with egg, vegetables, and choice of meat.","rice, egg, soy sauce, vegetables, meat"
Thai,Pad See Ew,Stir-fried wide noodles in sweet soy sauce.,"rice noodles, soy sauce, egg, broccoli, meat"
Thai,Yam Woon Sen,Spicy glass noodle salad with shrimp and pork.,"glass noodles, shrimp, pork, lime, chili"
Thai,Kai Med Ma Muang,Stir-fried chicken with cashew nuts and chili paste.,"chicken, cashew nuts, chili paste, onion"
Thai,Khao Niew Mamuang,"Sweet coconut sticky rice, a popular dessert.","sticky rice, coconut milk, sugar, salt"
Thai,Gaeng Som,Sour and spicy curry made with tamarind and fish.,"fish, tamarind, chili paste, vegetables"
Thai,Thai Basil Fried Egg,Fried egg served over rice with spicy basil stir-fry.,"egg, rice, basil, chili, garlic"
Thai,Roti Sai Mai,Thai crepe wrapped around cotton candy strands.,"flour, sugar, cotton candy"
Korean,Kimchi,Fermented spicy cabbage seasoned with chili and garlic.,"napa cabbage, chili flakes, garlic, ginger, fish sauce"
Korean,Bibimbap,"Mixed rice bowl topped with vegetables, meat, and egg.","rice, vegetables, beef, egg, gochujang"
Korean,Bulgogi,Marinated grilled beef with a sweet soy glaze.,"beef, soy sauce, sugar, garlic, sesame oil"
Korean,Tteokbokki,Spicy stir-fried rice cakes in a chili sauce.,"rice cakes, gochujang, fish cake, scallion"
Korean,Japchae,Stir-fried glass noodles with vegetables and beef.,"glass noodles, beef, spinach, carrot, soy sauce"
Korean,Samgyeopsal,Grilled pork belly typically enjoyed with lettuce wraps.,"pork belly, lettuce, garlic, ssamjang"
Korean,Kimchi Jjigae,Spicy stew made with fermented kimchi and pork.,"kimchi, pork, tofu, scallion, gochugaru"
Korean,Japgokbap,Multigrain rice dish combining several grains and beans.,"rice, barley, black beans, millet"
Korean,Sundubu Jjigae,Spicy soft tofu stew served bubbling hot.,"soft tofu, gochugaru, egg, seafood, scallion"
Korean,Galbi,Grilled marinated beef short ribs.,"beef short ribs, soy sauce, pear, garlic, sugar"
Korean,Naengmyeon,Cold buckwheat noodles served in a chilled broth.,"buckwheat noodles, broth, cucumber, egg, vinegar"
Korean,Dakgalbi,Spicy stir-fried chicken with vegetables and rice cakes.,"chicken, gochujang, cabbage, rice cakes"
Korean,Gimbap,"Rice and vegetables rolled in seaweed, sliced into rounds.","rice, seaweed, carrot, spinach, egg"
Korean,Haemul Pajeon,Savory seafood pancake with scallions.,"flour, scallion, seafood, egg"
Korean,Bossam,Boiled pork belly served with fermented cabbage wraps.,"pork belly, napa cabbage, garlic, ssamjang"
Korean,Yukgaejang,Spicy shredded beef soup with vegetables.,"beef, gochugaru, bean sprouts, fernbrake"
Korean,Banchan Platter,Assorted small side dishes served with Korean meals.,"kimchi, spinach, bean sprouts, seasoned vegetables"
Korean,Hotteok,Sweet filled pancake with cinnamon and nuts.,"flour, yeast, brown sugar, cinnamon, peanuts"
Korean,Ganjang Gejang,Raw crab marinated in soy sauce.,"raw crab, soy sauce, garlic, chili"
Korean,Sujeonggwa,Sweet cinnamon and persimmon punch dessert drink.,"cinnamon, ginger, dried persimmon, sugar"
Greek,Moussaka,"Layered baked dish of eggplant, meat, and béchamel.","eggplant, ground lamb, tomato, béchamel"
Greek,Souvlaki,Grilled skewered meat served with pita and tzatziki.,"pork, pita, tzatziki, lemon, oregano"
Greek,Greek Salad,"Fresh salad with tomato, cucumber, olives, and feta.","tomato, cucumber, olives, feta, olive oil"
Greek,Spanakopita,Savory pie filled with spinach and feta cheese.,"phyllo dough, spinach, feta, egg"
Greek,Tzatziki,Cool yogurt dip with cucumber and garlic.,"yogurt, cucumber, garlic, dill, olive oil"
Greek,Gyro,Sliced roasted meat wrapped in pita with toppings.,"pork or chicken, pita, tzatziki, tomato, onion"
Greek,Dolmades,Grape leaves stuffed with rice and herbs.,"grape leaves, rice, herbs, lemon"
Greek,Baklava,Sweet layered pastry with nuts and honey syrup.,"phyllo dough, walnuts, honey, butter"
Greek,Fasolada,"Traditional Greek bean soup, considered a national dish.","white beans, tomato, carrot, celery, olive oil"
Greek,Pastitsio,Baked pasta dish layered with meat sauce and béchamel.,"pasta, ground beef, tomato, béchamel"
Greek,Avgolemono,Egg-lemon soup with rice or orzo.,"chicken broth, egg, lemon, rice"
Greek,Loukoumades,Fried dough balls drizzled with honey and cinnamon.,"flour, yeast, honey, cinnamon"
Greek,Horiatiki,Village-style salad with fresh vegetables and feta.,"tomato, cucumber, feta, onion, olives"
Greek,Kleftiko,Slow-roasted lamb cooked with herbs until tender.,"lamb, garlic, lemon, oregano, potato"
Greek,Saganaki,Pan-fried cheese served as an appetizer.,"kefalotyri cheese, flour, lemon"
Greek,Galaktoboureko,Custard-filled pastry soaked in syrup.,"semolina custard, phyllo dough, syrup"
Greek,Keftedes,Fried meatballs seasoned with herbs and onion.,"ground beef, breadcrumbs, onion, mint"
Greek,Fava,Creamy yellow split pea puree.,"yellow split peas, onion, olive oil, lemon"
Greek,Taramasalata,Creamy dip made from cured fish roe.,"fish roe, bread, olive oil, lemon"
Greek,Revani,Sweet semolina cake soaked in syrup.,"semolina, sugar syrup, yogurt, eggs"
Spanish,Paella,"Saffron rice dish with seafood, chicken, and vegetables.","rice, saffron, chicken, shrimp, bell pepper"
Spanish,Tortilla Española,Thick potato and egg omelet.,"potato, egg, onion, olive oil"
Spanish,Gazpacho,Chilled tomato-based vegetable soup.,"tomato, cucumber, bell pepper, garlic, olive oil"
Spanish,Patatas Bravas,Fried potatoes served with spicy tomato sauce.,"potato, tomato sauce, paprika, aioli"
Spanish,Jamón Ibérico,Cured Spanish ham sliced thin.,"cured pork leg, salt"
Spanish,Churros con Chocolate,Fried dough sticks served with thick hot chocolate.,"flour, sugar, chocolate, milk"
Spanish,Croquetas,Creamy breaded and fried bites.,"béchamel, ham or chicken, breadcrumbs, egg"
Spanish,Gambas al Ajillo,Garlic shrimp sizzled in olive oil.,"shrimp, garlic, olive oil, chili flakes"
Spanish,Albondigas,Spanish meatballs simmered in tomato sauce.,"ground beef, breadcrumbs, tomato sauce, garlic"
Spanish,Pisto,Vegetable stew similar to ratatouille.,"zucchini, tomato, bell pepper, onion, olive oil"
Spanish,Bacalao a la Vizcaína,Salted cod cooked in a rich pepper sauce.,"salt cod, tomato, pepper, onion"
Spanish,Fideuà,Noodle dish similar to paella made with seafood.,"thin noodles, seafood, saffron, broth"
Spanish,Empanadas,Pastry turnovers filled with meat or vegetables.,"dough, ground beef, onion, olives"
Spanish,Crema Catalana,Custard dessert with a caramelized sugar top.,"milk, egg yolk, sugar, cinnamon"
Spanish,Cocido Madrileño,Hearty chickpea and meat stew.,"chickpeas, pork, chorizo, cabbage"
Spanish,Pan con Tomate,Toasted bread rubbed with tomato and olive oil.,"bread, tomato, olive oil, garlic"
Spanish,Calamares a la Romana,"Fried squid rings, crispy and golden.","squid, flour, egg, oil"
Spanish,Migas,Fried breadcrumbs cooked with garlic and chorizo.,"bread, chorizo, garlic, paprika"
Spanish,Turrón,Sweet nougat made with almonds and honey.,"almonds, honey, sugar, egg white"
Spanish,Sangria,Fruity red wine punch served chilled.,"red wine, fruit, brandy, sugar"
Vietnamese,Pho,Aromatic beef noodle soup with herbs and rice noodles.,"rice noodles, beef, star anise, ginger, herbs"
Vietnamese,Banh Mi,Crusty baguette sandwich filled with meat and pickled vegetables.,"baguette, pork, pickled carrot, cilantro, pate"
Vietnamese,Goi Cuon,Fresh spring rolls with shrimp and herbs wrapped in rice paper.,"rice paper, shrimp, vermicelli, herbs, lettuce"
Vietnamese,Bun Cha,Grilled pork served with rice noodles and dipping sauce.,"pork, rice noodles, fish sauce, herbs"
Vietnamese,Com Tam,Broken rice served with grilled pork and pickled vegetables.,"broken rice, grilled pork, pickled vegetables, fish sauce"
Vietnamese,Banh Xeo,Crispy savory pancake filled with shrimp and bean sprouts.,"rice flour, turmeric, shrimp, bean sprouts"
Vietnamese,Cha Gio,Fried spring rolls with pork and vegetables.,"rice paper, ground pork, carrot, mushroom"
Vietnamese,Bo Kho,Vietnamese beef stew with warm spices.,"beef, star anise, lemongrass, carrot, tomato"
Vietnamese,Canh Chua,Sweet and sour fish soup with tamarind.,"fish, tamarind, pineapple, tomato, herbs"
Vietnamese,Xoi,Sticky rice dish often served with savory or sweet toppings.,"glutinous rice, mung bean, coconut milk"
Vietnamese,Cao Lau,Regional noodle dish from Hoi An with pork and greens.,"noodles, pork, bean sprouts, herbs"
Vietnamese,Banh Cuon,Steamed rice rolls filled with pork and mushroom.,"rice batter, ground pork, mushroom, fish sauce"
Vietnamese,Che,"Sweet dessert soup with beans, jelly, and coconut milk.","mung beans, coconut milk, tapioca pearls, sugar"
Vietnamese,Nem Nuong,Grilled pork sausage skewers.,"ground pork, garlic, sugar, skewers"
Vietnamese,Mi Quang,"Turmeric noodle dish with pork, shrimp, and peanuts.","noodles, pork, shrimp, turmeric, peanuts"
Vietnamese,Bun Bo Hue,Spicy beef noodle soup from central Vietnam.,"rice noodles, beef, lemongrass, chili oil"
Vietnamese,Ca Kho To,Caramelized clay pot fish braised in fish sauce.,"fish, fish sauce, sugar, pepper"
Vietnamese,Banh Beo,Small steamed rice cakes topped with shrimp and scallion oil.,"rice flour, shrimp, scallion oil, fish sauce"
Vietnamese,Sup Mang Cua,"Crab and asparagus soup, silky and savory.","crab meat, asparagus, egg, broth"
Vietnamese,Ca Phe Sua Da,Vietnamese iced coffee with sweetened condensed milk.,"coffee, condensed milk, ice"
Moroccan,Tagine,Slow-cooked stew named after the conical clay pot it's cooked in.,"lamb, apricot, onion, cinnamon, almonds"
Moroccan,Couscous Royale,Steamed semolina served with meat and vegetable stew.,"couscous, lamb, chicken, vegetables, broth"
Moroccan,Harira,Hearty tomato-based soup with lentils and chickpeas.,"lentils, chickpeas, tomato, celery, spices"
Moroccan,Pastilla,Sweet and savory pastry filled with spiced pigeon or chicken.,"phyllo dough, chicken, almonds, cinnamon, sugar"
Moroccan,Zaalouk,Smoky eggplant and tomato salad.,"eggplant, tomato, garlic, cumin, olive oil"
Moroccan,Mechoui,Whole roasted lamb seasoned with spices.,"lamb, cumin, salt, garlic, olive oil"
Moroccan,Khobz,Traditional round Moroccan bread.,"flour, yeast, water, salt"
Moroccan,Chermoula Fish,"Fish marinated in a herby, spiced chermoula sauce.","fish, cilantro, garlic, cumin, lemon"
Moroccan,Msemen,"Layered, pan-fried flatbread, flaky and slightly chewy.","flour, semolina, butter, water"
Moroccan,Bissara,Creamy fava bean soup often eaten for breakfast.,"fava beans, garlic, cumin, olive oil"
Moroccan,Chicken Tagine with Olives,Chicken braised with preserved lemon and olives.,"chicken, preserved lemon, olives, ginger"
